airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Air India,AI 2918,AIC,A320,4,AMD,BOM,04/06/2026,22/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2906,AIC,A320,7,AMD,DEL,29/03/2026,29/03/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2906,AIC,A320,4,AMD,DEL,02/04/2026,28/05/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2906,AIC,A320,123567,AMD,DEL,29/03/2026,23/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2906,AIC,A320,5,AMD,DEL,05/06/2026,23/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 817,AIC,A321,1234567,DEL,AMD,29/03/2026,24/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 493,AIC,A321,1234567,BOM,AMD,29/03/2026,24/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 818,AIC,A321,1234567,AMD,DEL,29/03/2026,24/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 494,AIC,A321,1234567,AMD,BOM,29/03/2026,24/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2959,AIC,A320,67,DEL,AMD,29/03/2026,24/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 2959,AIC,A321,12345,DEL,AMD,30/03/2026,23/10/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 2946,AIC,A320,67,AMD,DEL,29/03/2026,24/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2946,AIC,A321,12345,AMD,DEL,30/03/2026,23/10/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 424,AIC,B787,3,AMD,DEL,06/05/2026,06/05/2026,departure,AirIndiaLtd_SS_2026.pdf
Air India,AI 2847,AIC,A320,3,BOM,AMD,01/04/2026,29/04/2026,arrival,AirIndiaLtd_SS_2026.pdf
Air India,AI 2847,AIC,A320,3,BOM,AMD,13/05/2026,27/05/2026,arrival,AirIndiaLtd_SS_2026.pdf
