airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Just Udo Aviation,IC 3412,GOA,ATR 72,1234567,BLR,HBX,05/04/2026,14/04/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2401,GOA,ATR 72,7,GOI,PNQ,05/04/2026,18/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2401,GOA,ATR 72,23456,GOI,PNQ,31/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2401,GOA,ATR 72,1,GOI,PNQ,30/03/2026,19/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2402,GOA,ATR 72,6,PNQ,GOI,04/04/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2402,GOA,ATR 72,123457,PNQ,GOI,29/03/2026,23/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2501,GOA,ATR 72,6,GOI,SSE,04/04/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2501,GOA,ATR 72,123457,GOI,SSE,29/03/2026,23/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2502,GOA,ATR 72,67,SSE,GOI,29/03/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2502,GOA,ATR 72,12345,SSE,GOI,30/03/2026,23/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2403,GOA,ATR 72,67,GOI,PNQ,29/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2404,GOA,ATR 72,7,PNQ,GOI,29/03/2026,18/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 2404,GOA,ATR 72,6,PNQ,GOI,04/04/2026,17/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5102,GOA,ATR 72,123457,GOX,AGX,30/03/2026,23/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5102,GOA,ATR 72,6,GOX,AGX,04/04/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5101,GOA,ATR 72,124567,AGX,GOX,29/03/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5101,GOA,ATR 72,3,AGX,GOX,01/04/2026,21/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5202,GOA,ATR 72,124567,GOX,JLG,29/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5202,GOA,ATR 72,3,GOX,JLG,01/04/2026,21/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5201,GOA,ATR 72,123467,JLG,GOX,29/03/2026,22/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5201,GOA,ATR 72,5,JLG,GOX,03/04/2026,23/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 1302,GOA,ATR 72,1234567,HYD,GOX,29/03/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 1301,GOA,ATR 72,1234567,GOX,HYD,29/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 3401,GOA,ATR 72,1234567,HYD,HBX,29/03/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 3411,GOA,ATR 72,1234567,HBX,BLR,05/04/2026,14/04/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 3412,GOA,ATR 72,1234567,BLR,HBX,05/04/2026,14/04/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 3402,GOA,ATR 72,1234567,HBX,HYD,29/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Akasa Air,QP 1323,AKJ,B737- 8MAX,14,GAU,IXA,29/03/2026,24/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1324,AKJ,B737- 8MAX,3,IXA,GAU,01/04/2026,21/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1324,AKJ,B737- 8MAX,14,IXA,GAU,29/03/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1918,AKJ,B737- 8MAX,1234567,PNQ,AMD,30/03/2026,24/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1194,AKJ,B737- 8MAX,157,AMD,BOM,29/03/2026,23/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1901,AKJ,B737- 8MAX,1234567,AMD,BLR,29/03/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1925,AKJ,B737- 8MAX,1356,AMD,CCU,30/03/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1911,AKJ,B737- 8MAX,1234567,AMD,PNQ,29/03/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1902,AKJ,B737- 8MAX,3,BLR,AMD,01/04/2026,21/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1902,AKJ,B737- 8MAX,124567,BLR,AMD,29/03/2026,24/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1805,AKJ,B737- 8MAX,6,DEL,AMD,04/04/2026,24/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1319,AKJ,B737- 8MAX,3,AMD,MAA,01/04/2026,21/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1925,AKJ,B737- 8MAX,247,AMD,CCU,29/03/2026,22/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1903,AKJ,B737- 8MAX,3,AMD,IXB,01/04/2026,21/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1903,AKJ,B737- 8MAX,2,AMD,BLR,31/03/2026,20/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1903,AKJ,B737- 8MAX,14567,AMD,IXB,29/03/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1806,AKJ,B737- 8MAX,6,AMD,DEL,04/04/2026,24/10/2026,departure,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1926,AKJ,B737- 8MAX,1356,CCU,AMD,30/03/2026,24/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1926,AKJ,B737- 8MAX,27,CCU,AMD,29/03/2026,20/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
Akasa Air,QP 1926,AKJ,B737- 8MAX,4,CCU,AMD,02/04/2026,22/10/2026,arrival,SNVAviation Private Limited_SS_2026.pdf
SpiceJet,SG 442,SEJ,B737,1234567,CCU,AMD,29/03/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 491,SEJ,B737,1234567,AMD,CCU,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 763,SEJ,B737,1234567,AMD,BLR,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 611,SEJ,B737,1234567,AMD,MAA,29/03/2026,23/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 194,SEJ,B737,1234567,AMD,DEL,29/03/2026,23/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 462,SEJ,B737,1234567,BLR,AMD,29/03/2026,15/04/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 463,SEJ,B737,1234567,AMD,HYD,29/03/2026,15/04/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 1077,SEJ,Q400,6,AMD,BOM,04/04/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 764,SEJ,B737,124567,BLR,AMD,29/03/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 591,SEJ,B737,124567,AMD,CCU,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 494,SEJ,B737,1234567,CCU,AMD,29/03/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 466,SEJ,B737,3,AMD,BLR,01/04/2026,15/04/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 466,SEJ,B737,124567,AMD,BLR,29/03/2026,14/04/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 1078,SEJ,Q400,6,BOM,AMD,04/04/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 594,SEJ,B737,1234567,CCU,AMD,29/03/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 441,SEJ,B737,1234567,AMD,CCU,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 736,SEJ,B737,124567,AMD,CCU,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 458,SEJ,B737,1234567,MAA,AMD,29/03/2026,23/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 466,SEJ,B737,1234567,BLR,AMD,29/03/2026,15/04/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 193,SEJ,B737,1234567,DEL,AMD,29/03/2026,23/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 461,SEJ,B737,1234567,AMD,BLR,29/03/2026,15/04/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 555,SEJ,B737,1234567,BOM,BLR,29/03/2026,24/10/2026,arrival,SpiceJet_SS_2026.pdf
SpiceJet,SG 462,SEJ,B737,1234567,BLR,AMD,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 529,SEJ,B737,1234567,BLR,DEL,29/03/2026,23/10/2026,departure,SpiceJet_SS_2026.pdf
SpiceJet,SG 115,SEJ,B737,1234567,BLR,BOM,29/03/2026,24/10/2026,departure,SpiceJet_SS_2026.pdf
